Student_ID,Branch,Year,Gender,Has_Internship,Startup_Interest,Startup_Timeline,Preferred_Domain,Tech_Skill_Score_1to5,Biz_Skill_Score_1to5,Avg_Skill_Score,Top_Tech_Skills,Top_Biz_Skills,Risk_Appetite,Primary_Barrier,Additional_Barriers,Funding_Awareness,Preferred_Funding_Source,Incubators_Known,Willing_to_Leave_Job,Took_Entrepreneurship_Course,Readiness_Score_0to10
STU0001,Information Technology,Fourth Year,Female,Yes,Very Interested,Right After Graduation,AI/ML,5,3,4.0,"AI / Machine Learning, Data Analysis, Cloud / DevOps",Product Management,High,No Co-founder / Team,Lack of Funding,Low,Crowdfunding,None,Yes,No,7.6
STU0002,Electronics,Fourth Year,Male,Yes,Somewhat Interested,After 2-3 Years of Job,Gaming,4,3,3.5,Data Analysis,Communication,Medium,Lack of a Good Idea,"Lack of Funding, Prefer Job Security",Medium,College Incubator,YCombinator,Yes,No,6.7
STU0003,Computer Science,First Year,Female,No,Neutral,Right After Graduation,AI/ML,4,2,3.0,"AI / Machine Learning, Programming / Coding, Data Analysis","Leadership, Sales, Product Management",Medium,Family Pressure / Expectations,"Fear of Failure, No Co-founder / Team",High,"Bootstrapping, College Incubator",IIT TBI,No,No,5.7
STU0004,Information Technology,Third Year,Female,Yes,Not Interested,Never,Social Impact,4,3,3.5,"App Development, AI / Machine Learning",Product Management,Medium,Prefer Job Security,"Lack of Funding, Lack of a Good Idea",High,"Bootstrapping, Crowdfunding","YCombinator, IIM Incubation Cell",Maybe,No,6.2
STU0005,Electronics,Third Year,Prefer not to say,No,Very Interested,Right After Graduation,Social Impact,2,2,2.0,"Cybersecurity, AI / Machine Learning, App Development",Product Management,High,Lack of Funding,"Prefer Job Security, Unclear Market Opportunity",High,Venture Capital,IIM Incubation Cell,Maybe,No,6.2
STU0006,Computer Science,Third Year,Male,No,Somewhat Interested,Right After Graduation,AI/ML,4,2,3.0,Cybersecurity,Leadership,Medium,Fear of Failure,Prefer Job Security,Low,Venture Capital,"NASSCOM, Startup India",No,No,5.2
STU0007,Civil,Fourth Year,Male,Yes,Very Interested,After 5+ Years,AgriTech,3,2,2.5,"Cloud / DevOps, Cybersecurity","Marketing, Communication, Financial Planning",High,Fear of Failure,"Lack of a Good Idea, Unclear Market Opportunity",Low,"Government Grants, Venture Capital",IIT TBI,Maybe,Yes,6.7
STU0008,Information Technology,Fourth Year,Male,Yes,Very Interested,Right After Graduation,GreenTech,4,3,3.5,"Cybersecurity, Programming / Coding",Networking,Medium,Lack of a Good Idea,Unclear Market Opportunity,High,"Venture Capital, Bootstrapping",Startup India,Yes,Yes,8.1
STU0009,MBA,Second Year,Female,Yes,Very Interested,Right After Graduation,EdTech,2,3,2.5,"AI / Machine Learning, Data Analysis, Web Development","Product Management, Leadership",High,Lack of Funding,Lack of Business Knowledge,Medium,Angel Investors,Startup India,Yes,Yes,7.1
STU0010,Mechanical,Third Year,Prefer not to say,No,Very Interested,After 2-3 Years of Job,AI/ML,2,2,2.0,"App Development, Web Development","Financial Planning, Networking",High,Fear of Failure,"Unclear Market Opportunity, Lack of Business Knowledge",Low,Angel Investors,"IIM Incubation Cell, None",Yes,Yes,5.7
STU0011,Electronics,Fourth Year,Female,Yes,Somewhat Interested,After 2-3 Years of Job,FinTech,4,2,3.0,"Web Development, App Development, Programming / Coding","Leadership, Communication",Medium,Fear of Failure,Prefer Job Security,Low,College Incubator,"YCombinator, Startup India",Maybe,No,5.7
STU0012,Computer Science,Fourth Year,Male,Yes,Very Interested,After 2-3 Years of Job,SaaS,3,3,3.0,"Cybersecurity, AI / Machine Learning, Cloud / DevOps",Sales,Medium,No Co-founder / Team,Unclear Market Opportunity,High,College Incubator,"IIT TBI, NASSCOM",Maybe,No,7.1
STU0013,Mechanical,Second Year,Female,No,Very Interested,Right After Graduation,E-commerce,3,3,3.0,"Programming / Coding, Cloud / DevOps, AI / Machine Learning","Communication, Networking, Financial Planning",High,Lack of a Good Idea,"Lack of Business Knowledge, Fear of Failure",Low,Crowdfunding,Startup India,Maybe,No,6.2
STU0014,Information Technology,Third Year,Female,No,Not Interested,Never,HealthTech,3,3,3.0,"Web Development, Programming / Coding",Sales,Medium,Family Pressure / Expectations,Lack of Business Knowledge,Low,Crowdfunding,"IIT TBI, IIM Incubation Cell",No,No,4.3
STU0015,BBA,Second Year,Male,No,Somewhat Interested,Never,Social Impact,1,4,2.5,"Web Development, Programming / Coding, App Development",Financial Planning,Medium,No Co-founder / Team,Lack of Funding,Medium,"Crowdfunding, College Incubator","YCombinator, IIT TBI",No,Yes,5.7
STU0016,Computer Science,Third Year,Prefer not to say,Yes,Not Interested,Never,FinTech,5,2,3.5,"Cloud / DevOps, Data Analysis, AI / Machine Learning","Product Management, Networking",Low,Prefer Job Security,"Fear of Failure, No Co-founder / Team",Low,"Bootstrapping, Angel Investors","NASSCOM, YCombinator",Yes,No,4.8
STU0017,Computer Science,Fourth Year,Female,No,Somewhat Interested,During College,AI/ML,4,3,3.5,"Programming / Coding, App Development","Financial Planning, Communication, Networking",Low,Lack of a Good Idea,Lack of Funding,Low,Angel Investors,IIM Incubation Cell,No,Yes,5.7
